"sigma" "alpha" "epsilon" "lambda" "f" "likelihood_est"
"1" 1e-07 1 0 0.05 1 845.362983127405
"2" 1e-07 1 0.1 0.05 1 844.933512917958
"3" 1e-07 1 0.5 0.05 1 843.188858817546
"4" 1e-07 1 0.9 0.05 1 841.402837207665
"5" 1e-07 1 0 0.1 1 859.069192985005
"6" 1e-07 1 0.1 0.1 1 858.4435867503
"7" 1e-07 1 0.5 0.1 1 855.809658752201
"8" 1e-07 1 0.9 0.1 1 852.96296813832
"9" 1e-07 1 0 0.15 1 864.139913850202
"10" 1e-07 1 0.1 0.15 1 863.4667126849
"11" 1e-07 1 0.5 0.15 1 860.507876925696
"12" 1e-07 1 0.9 0.15 1 857.065183052941
"13" 1e-07 1 0 0.2 1 865.697001737097
"14" 1e-07 1 0.1 0.2 1 865.101048015714
"15" 1e-07 1 0.5 0.2 1 862.308731913429
"16" 1e-07 1 0.9 0.2 1 858.659208362342
"17" 1e-07 1 0 0.25 1 865.274335098428
"18" 1e-07 1 0.1 0.25 1 864.809633594426
"19" 1e-07 1 0.5 0.25 1 862.503464087997
"20" 1e-07 1 0.9 0.25 1 858.956980685454
"21" 1e-07 1 0 0.3 1 863.655229285432
"22" 1e-07 1 0.1 0.3 1 863.391261111914
"23" 1e-07 1 0.5 0.3 1 861.908627356725
"24" 1e-07 1 0.9 0.3 1 858.731809241154
"25" 1e-07 1 0 0.35 1 861.184994608697
"26" 1e-07 1 0.1 0.35 1 861.184845550203
"27" 1e-07 1 0.5 0.35 1 860.808857288523
"28" 1e-07 1 0.9 0.35 1 858.196213615795
"29" 1e-07 1 0 0.4 1 858.098090344131
"30" 1e-07 1 0.1 0.4 1 858.386785634987
"31" 1e-07 1 0.5 0.4 1 859.322933502649
"32" 1e-07 1 0.9 0.4 1 857.455312387743
"33" 1e-07 1 0 0.45 1 854.541137481479
"34" 1e-07 1 0.1 0.45 1 855.127084178639
"35" 1e-07 1 0.5 0.45 1 857.562872287079
"36" 1e-07 1 0.9 0.45 1 856.623596996215
"37" 1e-07 1 0 0.5 1 850.623192164477
"38" 1e-07 1 0.1 0.5 1 851.579244709256
"39" 1e-07 1 0.5 0.5 1 855.64119785051
"40" 1e-07 1 0.9 0.5 1 855.630540133056
"41" 1e-07 1 0 0.55 1 846.381446299697
"42" 1e-07 1 0.1 0.55 1 847.663465771578
"43" 1e-07 1 0.5 0.55 1 853.541396096482
"44" 1e-07 1 0.9 0.55 1 854.727067825869
"45" 1e-07 1 0 0.6 1 841.907093055038
"46" 1e-07 1 0.1 0.6 1 843.539831579803
"47" 1e-07 1 0.5 0.6 1 851.334902060746
"48" 1e-07 1 0.9 0.6 1 853.773484691709
"49" 1e-07 1 0 0.65 1 837.22150948694
"50" 1e-07 1 0.1 0.65 1 839.24160854001
"51" 1e-07 1 0.5 0.65 1 849.017522693868
"52" 1e-07 1 0.9 0.65 1 852.732154987038
"53" 1e-07 1 0 0.7 1 832.355728343875
"54" 1e-07 1 0.1 0.7 1 834.765780982879
"55" 1e-07 1 0.5 0.7 1 846.611510429986
"56" 1e-07 1 0.9 0.7 1 851.695000282689
"57" 1e-07 1 0 0.75 1 827.330356593926
"58" 1e-07 1 0.1 0.75 1 830.19654637148
"59" 1e-07 1 0.5 0.75 1 844.020078112033
"60" 1e-07 1 0.9 0.75 1 850.373652686369
"61" 1e-07 1 0 0.8 1 822.179652188681
"62" 1e-07 1 0.1 0.8 1 825.400919163961
"63" 1e-07 1 0.5 0.8 1 841.563329232684
"64" 1e-07 1 0.9 0.8 1 849.56694061316
"65" 1e-07 1 0 0.85 1 816.904618348836
"66" 1e-07 1 0.1 0.85 1 820.543432698059
"67" 1e-07 1 0.5 0.85 1 838.938318701198
"68" 1e-07 1 0.9 0.85 1 848.488086094339
"69" 1e-07 1 0 0.9 1 811.522121215756
"70" 1e-07 1 0.1 0.9 1 815.620849748148
"71" 1e-07 1 0.5 0.9 1 836.163191528604
"72" 1e-07 1 0.9 0.9 1 847.209650977118
"73" 1e-07 1 0 0.95 1 806.049789542375
"74" 1e-07 1 0.1 0.95 1 810.629790743268
"75" 1e-07 1 0.5 0.95 1 833.178551692436
"76" 1e-07 1 0.9 0.95 1 845.666745003899
"77" 1e-07 1 0 1 1 800.512741307333
"78" 1e-07 1 0.1 1 1 804.545084804091
"79" 1e-07 1 0.5 1 1 827.420778957053
"80" 1e-07 1 0.9 1 1 841.051395107392
