File                                           |   mean   |  var  |   sbc-mean   |  sbc-var
                  ./output/vt_ClaDS2_0.05.json | -146.255 | 0.027 | -146.001 | 0.020
                   ./output/vt_ClaDS2_0.1.json | -143.162 | 0.024 | -142.743 | 0.023
                  ./output/vt_ClaDS2_0.15.json | -141.627 | 0.038 | -141.155 | 0.031
                   ./output/vt_ClaDS2_0.2.json | -140.924 | 0.013 | -140.343 | 0.012
                  ./output/vt_ClaDS2_0.25.json | -140.459 | 0.023 | -139.827 | 0.014
                   ./output/vt_ClaDS2_0.3.json | -140.171 | 0.055 | -139.492 | 0.028
                  ./output/vt_ClaDS2_0.35.json | -140.183 | 0.030 | -139.395 | 0.011
                   ./output/vt_ClaDS2_0.4.json | -139.919 | 0.019 | -139.071 | 0.028
                  ./output/vt_ClaDS2_0.45.json | -139.902 | 0.022 | -139.027 | 0.025
                   ./output/vt_ClaDS2_0.5.json | -139.808 | 0.007 | -138.929 | 0.017
                  ./output/vt_ClaDS2_0.55.json | -139.681 | 0.044 | -138.837 | 0.042
                   ./output/vt_ClaDS2_0.6.json | -139.816 | 0.021 | -138.868 | 0.027
                  ./output/vt_ClaDS2_0.65.json | -139.913 | 0.027 | -138.851 | 0.027
                   ./output/vt_ClaDS2_0.7.json | -139.888 | 0.042 | -138.827 | 0.034
                  ./output/vt_ClaDS2_0.75.json | -139.875 | 0.009 | -138.778 | 0.013
                   ./output/vt_ClaDS2_0.8.json | -139.896 | 0.008 | -138.822 | 0.012
                  ./output/vt_ClaDS2_0.85.json | -139.939 | 0.019 | -138.810 | 0.031
                   ./output/vt_ClaDS2_0.9.json | -139.947 | 0.019 | -138.826 | 0.020
                  ./output/vt_ClaDS2_0.95.json | -140.087 | 0.027 | -138.846 | 0.032
                     ./output/vt_ClaDS2_1.json | -140.193 | 0.031 | -138.908 | 0.012
