"sigma" "alpha" "epsilon" "lambda" "f" "likelihood_est"
"1" 0.05 1 0 0.01 1 -10.8193010333552
"2" 0.05 1 0.1 0.01 1 -10.9283928870355
"3" 0.05 1 0.5 0.01 1 -11.3650986222991
"4" 0.05 1 0.9 0.01 1 -11.8023365239511
"5" 0.05 1 0 0.02 1 8.55608760712697
"6" 0.05 1 0.1 0.02 1 8.35073797124332
"7" 0.05 1 0.5 0.02 1 7.52690805600825
"8" 0.05 1 0.9 0.02 1 6.69929689328494
"9" 0.05 1 0 0.03 1 19.3053953284374
"10" 0.05 1 0.1 0.03 1 19.0155723636021
"11" 0.05 1 0.5 0.03 1 17.8489495331857
"12" 0.05 1 0.9 0.03 1 16.6709978352296
"13" 0.05 1 0 0.04 1 26.518552112949
"14" 0.05 1 0.1 0.04 1 26.1554256363073
"15" 0.05 1 0.5 0.04 1 24.6872178611808
"16" 0.05 1 0.9 0.04 1 23.1948171151832
"17" 0.05 1 0 0.05 1 31.7951564120903
"18" 0.05 1 0.1 0.05 1 31.3661859803731
"19" 0.05 1 0.5 0.05 1 29.6235352333308
"20" 0.05 1 0.9 0.05 1 27.8394860969651
"21" 0.05 1 0 0.06 1 35.843388414127
"22" 0.05 1 0.1 0.06 1 35.3592250788962
"23" 0.05 1 0.5 0.06 1 33.3810368018055
"24" 0.05 1 0.9 0.06 1 31.3382824076796
"25" 0.05 1 0 0.07 1 39.0515147387494
"26" 0.05 1 0.1 0.07 1 38.5199164284876
"27" 0.05 1 0.5 0.07 1 36.3343593627329
"28" 0.05 1 0.9 0.07 1 34.0560174087949
"29" 0.05 1 0 0.09 1 43.7506018790157
"30" 0.05 1 0.1 0.09 1 43.1488021183202
"31" 0.05 1 0.5 0.09 1 40.6383242916451
"32" 0.05 1 0.9 0.09 1 37.961994530255
"33" 0.05 1 0 0.1 1 45.4997265756539
"34" 0.05 1 0.1 0.1 1 44.8760296954964
"35" 0.05 1 0.5 0.1 1 42.2501316986796
"36" 0.05 1 0.9 0.1 1 39.4112670916639
