"sigma" "alpha" "epsilon" "lambda" "f" "likelihood_est"
"1" 0.15 0.4 0.015 0.03 1 -1201.29354667447
"2" 0.6 0.4 0.015 0.03 1 -240.350955004248
"3" 1 0.4 0.015 0.03 1 -227.11033664907
"4" 0.15 0.65 0.015 0.03 1 -331.806873691461
"5" 0.6 0.65 0.015 0.03 1 -185.90184180744
"6" 1 0.65 0.015 0.03 1 -207.555240211529
"7" 0.15 1 0.015 0.03 1 -84.5866381811796
"8" 0.6 1 0.015 0.03 1 -170.48030541873
"9" 1 1 0.015 0.03 1 -202.039670142475
"10" 0.15 0.4 0.025 0.03 1 -1201.07411506144
"11" 0.6 0.4 0.025 0.03 1 -240.242337697904
"12" 1 0.4 0.025 0.03 1 -226.928847760263
"13" 0.15 0.65 0.025 0.03 1 -331.78328348965
"14" 0.6 0.65 0.025 0.03 1 -185.824149135321
"15" 1 0.65 0.025 0.03 1 -207.411219627255
"16" 0.15 1 0.025 0.03 1 -84.5726746490053
"17" 0.6 1 0.025 0.03 1 -170.42987298376
"18" 1 1 0.025 0.03 1 -201.928085702441
"19" 0.15 0.4 0.065 0.03 1 -1200.60543033861
"20" 0.6 0.4 0.065 0.03 1 -239.843359533668
"21" 1 0.4 0.065 0.03 1 -226.291858476027
"22" 0.15 0.65 0.065 0.03 1 -331.693398984222
"23" 0.6 0.65 0.065 0.03 1 -185.528545488482
"24" 1 0.65 0.065 0.03 1 -206.886781896458
"25" 0.15 1 0.065 0.03 1 -84.5166523918051
"26" 0.6 1 0.065 0.03 1 -170.232480791315
"27" 1 1 0.065 0.03 1 -201.508722475845
"28" 0.15 0.4 0.015 0.12 1 -1211.66083248764
"29" 0.6 0.4 0.015 0.12 1 -250.457040624624
"30" 1 0.4 0.015 0.12 1 -236.677139688573
"31" 0.15 0.65 0.015 0.12 1 -342.675201784805
"32" 0.6 0.65 0.015 0.12 1 -196.299506495081
"33" 1 0.65 0.015 0.12 1 -217.390357704745
"34" 0.15 1 0.015 0.12 1 -95.5475857218305
"35" 0.6 1 0.015 0.12 1 -181.111682966246
"36" 1 1 0.015 0.12 1 -212.114294242326
"37" 0.15 0.4 0.025 0.12 1 -1210.98749517713
"38" 0.6 0.4 0.025 0.12 1 -249.893813829909
"39" 1 0.4 0.025 0.12 1 -235.874911080632
"40" 0.15 0.65 0.025 0.12 1 -342.503322071674
"41" 0.6 0.65 0.025 0.12 1 -195.862128387386
"42" 1 0.65 0.025 0.12 1 -216.680267158786
"43" 0.15 1 0.025 0.12 1 -95.4642413835534
"44" 0.6 1 0.025 0.12 1 -180.807203443146
"45" 1 1 0.025 0.12 1 -211.504404826242
"46" 0.15 0.4 0.065 0.12 1 -1209.26981097399
"47" 0.6 0.4 0.065 0.12 1 -248.273628591063
"48" 1 0.4 0.065 0.12 1 -233.679427170299
"49" 0.15 0.65 0.065 0.12 1 -341.951004722848
"50" 0.6 0.65 0.065 0.12 1 -194.469805682436
"51" 1 0.65 0.065 0.12 1 -214.607446017545
"52" 0.15 1 0.065 0.12 1 -95.1292815792928
"53" 0.6 1 0.065 0.12 1 -179.727521297039
"54" 1 1 0.065 0.12 1 -209.599026252829
"55" 0.15 0.4 0.015 1 1 -1373.21611305346
"56" 0.6 0.4 0.015 1 1 -427.993695716972
"57" 1 0.4 0.015 1 1 -405.242241150692
"58" 0.15 0.65 0.015 1 1 -537.577624046399
"59" 0.6 0.65 0.015 1 1 -371.938336042469
"60" 1 0.65 0.015 1 1 -384.878620389112
"61" 0.15 1 0.015 1 1 -293.542515576619
"62" 0.6 1 0.015 1 1 -356.141877348638
"63" 1 1 0.015 1 1 -379.086748477026
"64" 0.15 0.4 0.025 1 1 -1346.56659083661
"65" 0.6 0.4 0.025 1 1 -422.801851980722
"66" 1 0.4 0.025 1 1 -398.787212286131
"67" 0.15 0.65 0.025 1 1 -535.464402539762
"68" 0.6 0.65 0.025 1 1 -366.165979384973
"69" 1 0.65 0.025 1 1 -378.454635668253
"70" 0.15 1 0.025 1 1 -293.123747322295
"71" 0.6 1 0.025 1 1 -350.415974715213
"72" 1 1 0.025 1 1 -372.779822365342
"73" 0.15 0.4 0.065 1 1 -1350.75710427004
"74" 0.6 0.4 0.065 1 1 -416.026435183479
"75" 1 0.4 0.065 1 1 -391.121803503587
"76" 0.15 0.65 0.065 1 1 -540.152757707739
"77" 0.6 0.65 0.065 1 1 -358.337116251557
"78" 1 0.65 0.065 1 1 -371.51255216212
"79" 0.15 1 0.065 1 1 -292.598209440669
"80" 0.6 1 0.065 1 1 -343.624413343836
"81" 1 1 0.065 1 1 -366.781957724698
