"sigma" "alpha" "epsilon" "lambda" "f" "clads2_likelihood_est"
"1" 0.05 1 0 0.01 1 -10.8193010333552
"2" 0.05 1 0.1 0.01 1 -10.9284211754419
"3" 0.05 1 0.5 0.01 1 -11.365239790665
"4" 0.05 1 0.9 0.01 1 -11.8025901264592
"5" 0.05 1 0 0.02 1 8.55608760712697
"6" 0.05 1 0.1 0.02 1 8.35049534068721
"7" 0.05 1 0.5 0.02 1 7.52571672429478
"8" 0.05 1 0.9 0.02 1 6.69719139836751
"9" 0.05 1 0 0.03 1 19.3053953284374
"10" 0.05 1 0.1 0.03 1 19.0161906838267
"11" 0.05 1 0.5 0.03 1 17.8519141449948
"12" 0.05 1 0.9 0.03 1 16.6761079951177
"13" 0.05 1 0 0.04 1 26.518552112949
"14" 0.05 1 0.1 0.04 1 26.1568037908674
"15" 0.05 1 0.5 0.04 1 24.6937792647726
"16" 0.05 1 0.9 0.04 1 23.2060320360268
"17" 0.05 1 0 0.05 1 31.7951564120903
"18" 0.05 1 0.1 0.05 1 31.3658743949132
"19" 0.05 1 0.5 0.05 1 29.6219888716685
"20" 0.05 1 0.9 0.05 1 27.8367338756706
"21" 0.05 1 0 0.06 1 35.843388414127
"22" 0.05 1 0.1 0.06 1 35.3602464579805
"23" 0.05 1 0.5 0.06 1 33.3857956453043
"24" 0.05 1 0.9 0.06 1 31.3461872874512
"25" 0.05 1 0 0.07 1 39.0515147387494
"26" 0.05 1 0.1 0.07 1 38.5201081738696
"27" 0.05 1 0.5 0.07 1 36.3351478125365
"28" 0.05 1 0.9 0.07 1 34.057123195636
"29" 0.05 1 0 0.09 1 43.7506018790157
"30" 0.05 1 0.1 0.09 1 43.1471513295672
"31" 0.05 1 0.5 0.09 1 40.6302749596521
"32" 0.05 1 0.9 0.09 1 37.9480653967763
"33" 0.05 1 0 0.1 1 45.4997265756539
"34" 0.05 1 0.1 0.1 1 44.8717643055759
"35" 0.05 1 0.5 0.1 1 42.229740053868
"36" 0.05 1 0.9 0.1 1 39.3769054111944
